Year,Afghanistan,Angola,Albania,United Arab Emirates,Argentina,Armenia,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Brunei Darussalam,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Cabo Verde,Costa Rica,Cuba,Cyprus,Czechia,Germany,Djibouti,Denmark,Dominican Republic,Algeria,Ecuador,"Egypt, Arab Rep.",Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,Gabon,United Kingdom,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Guatemala,Guyana,Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,"Korea, Rep.",Kuwait,Lao PDR,Lebanon,Liberia,Libya,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,Moldova,Madagascar,Mexico,North Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Papua New Guinea,Poland,"Korea, Dem. People's Rep.",Portugal,Paraguay,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan,Senegal,Singapore,Sierra Leone,El Salvador,"Somalia, Fed. Rep.",Serbia,South Sudan,Slovak Republic,Slovenia,Sweden,Eswatini,Seychelles,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Trinidad and Tobago,Tunisia,Turkiye,Tanzania,Uganda,Ukraine,Uruguay,United States,Uzbekistan,"Venezuela, RB",Viet Nam,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1960,2939585.50125376,343271609.064777,0.0,3335766741.48489,0.0,0.0,459760073.561612,91559097.9576499,11070110.701107,380000.0,383220247.363793,1301005.3222945,1268378.22957238,48606800.1313768,2071428571.42857,11583922.3582339,241025517.642926,0.0,695125.0,4935417.96405309,382729752.052851,9868097.73741424,5650505.96227849,21598187.9216042,1702442711.4107,200093758.218136,126791042.64183,11251332630.388,8766845.9761483,20339866.0651295,58217821.7821782,13100436.6812227,75960813.8658628,3687650.14214536,0.0,0.0,30737332.9129284,815585466.91913,2702616481.21569,45014.376466484,161137605.434377,38300000.0,43143085.155943,22400000.0,249697766.811953,107737649.233228,232839815.943989,0.0,15335262.6515917,89557618.8078432,344497.343925478,3260127992.20532,3008117.85317946,5129857089.89177,67706683.5603421,20821777.3519574,10492201.7419486,727666.880166151,9407751.85709348,2379301.339145,170327798.096363,12084076.433121,5032808.21202366,3920000.0,36272977.871391,1930800.0,0.0,698192771.084337,681765681.765682,25800590.1058045,98679867.9867987,118726952.509219,0.0,1009308856.43093,27445027.4450274,56139977.544009,480555555.555556,0.0,2589998.96400041,0.0,0.0,275643564.356436,68739972.504011,35544791.6666667,22906905.201382,2700000.0,5571997.77120089,16653016.6530167,2291375.57284389,20769763.769377,4752423.9309612,17691507.9721057,41596762.3688615,0.0,1604193.58889704,84000000.0,130636725.852966,3922368.09916008,12948712.0830855,89512589.5125895,60811819.1314729,0.0,39135467.9154937,41058571.7065577,302400.302400302,1771001.77100177,51286741.8872214,156919128.673686,7330399.9290757,23379990.6480037,6891062.97072754,454719432.137141,148119940.752024,5185185.18518519,101219676.097036,29065079.3001273,208845208.845209,103800000.0,49085687.4926738,123821339.950372,7933048.21486779,3550000000.0,0.0,79415853.3328803,7088541.5940611,616740088.105727,740833333.333333,0.0,9365839.70830056,140888888.888889,18667432.5100517,94390801.1395154,103635151.998223,1959999.21600031,4384473.69549372,3160000.0,0.0,551454504.427754,266899036.578679,281422738.461992,526848900.3926,5390626.34765659,7246651.05202591,90223463.6871508,39363259.9077325,326999.918453886,62825161.2233144,1037058.64242542,79583333.3333333,8230000.0,5087500.0,15952380.952381,468810916.179337,14629994.1480023,139997.200055999,152233866.519581,51429281.9115868,47346552670.2126,86929824.5614035,234357740.37342,1315597881.75968,927234.774966126,807070715.481137,69999972.0000112,81624098.9637049,12650000.0
1961,2939585.50125376,343271609.064777,0.0,3335766741.48489,0.0,0.0,470960075.353612,91029854.6168543,11070110.701107,380000.0,391218827.402035,2173203.94683193,1643154.20370219,48606800.1313768,2071428571.42857,11583922.3582339,241025517.642926,0.0,695125.0,4935417.96405309,342339720.821958,9868097.73741424,5650505.96227849,21598187.9216042,1677820881.08423,237368366.891915,160930923.495915,11251332630.388,8766845.9761483,20339866.0651295,58217821.7821782,13100436.6812227,97313432.8358209,3687650.14214536,0.0,0.0,30737332.9129284,815585466.91913,3060506359.6122,45014.376466484,170837712.859447,36300000.0,45978780.8938923,18700000.0,249697766.811953,107737649.233228,239348772.068642,0.0,18555265.3080939,105350974.821674,344497.343925478,3469940419.47309,3008117.85317946,5308314126.28105,67706683.5603421,27454210.2992509,10492201.7419486,727666.880166151,9407751.85709348,2379301.339145,167762365.801466,12084076.433121,5032808.21202366,3830000.0,36272977.871391,1930800.0,0.0,698192771.084337,748388248.388248,27564733.0190219,105940594.059406,125481949.80722,0.0,1062907313.20441,27445027.4450274,55509977.7960089,492361111.111111,0.0,895999.641600143,0.0,0.0,157061350.086544,68739972.504011,35544791.6666667,27837147.8129811,2700000.0,7167997.13280115,17083517.0835171,2291375.57284389,20769763.769377,5240786.51282378,17691507.9721057,48275957.4665694,0.0,8482781.25037978,86400000.0,130636725.852966,3922368.09916008,12948712.0830855,85617085.6170856,60811819.1314729,0.0,39135467.9154937,41058571.7065577,302400.302400302,1771001.77100177,42466728.9512025,156919128.673686,7330399.9290757,28279988.6880045,6891062.97072754,551530519.833364,165059933.976026,5185185.18518519,96678751.2194031,29065079.3001273,210105210.10521,103800000.0,63020431.2984073,128712871.287129,7933048.21486779,4025000000.0,0.0,129287745.313144,7187461.3157632,616740088.105727,794666666.666667,0.0,9365839.70830056,71555555.5555556,20505456.6341183,94390801.1395154,103635151.998223,1930599.22776031,4441787.07713416,3160000.0,0.0,551454504.427754,266899036.578679,281422738.461992,564736401.576584,5390626.34765659,7246651.05202591,90223463.6871508,39363259.9077325,326999.918453886,58741404.8550697,1037058.64242542,79583333.3333333,8230000.0,5087500.0,18571428.5714286,301330376.940133,14629994.1480023,139997.200055999,152233866.519581,51429281.9115868,49879770605.0578,86929824.5614035,114632682.852563,1315597881.75968,927234.774966126,807070715.481137,113749954.500018,81624098.9637049,12650000.0
1962,2939585.50125376,343271609.064777,0.0,3335766741.48489,305162407.203668,0.0,489440078.310413,100026991.410381,11070110.701107,8420000.0,422220787.917416,2734537.61825855,4901760.7157142,48606800.1313768,2071428571.42857,11583922.3582339,241025517.642926,0.0,695125.0,5195618.57100147,387449035.549939,9868097.73741424,5650505.96227849,21598187.9216042,1671313753.19292,273728261.242411,162626224.42419,11251332630.388,8766845.9761483,20339866.0651295,58217821.7821782,13100436.6812227,153596253.410634,3687650.14214536,0.0,0.0,30737332.9129284,815585466.91913,4036564704.13694,45014.376466484,224550248.004239,38000000.0,45978780.8938923,18300000.0,249697766.811953,107737649.233228,308791693.470944,0.0,20185391.6529481,154403280.55875,344497.343925478,3774280041.36628,3008117.85317946,5597132750.96369,67706683.5603421,27944464.0545947,10492201.7419486,727666.880166151,9407751.85709348,2379301.339145,170034222.652829,11954140.1273885,5032808.21202366,3830000.0,36272977.871391,1930800.0,0.0,698192771.084337,1065436065.43607,29163487.5341251,109900990.09901,135064945.974022,0.0,1222013656.10652,27445027.4450274,60409975.8360097,538194444.444444,0.0,671999.731200107,0.0,0.0,186153846.153846,68739972.504011,35544791.6666667,40876824.5021668,2700000.0,16687993.3248027,15849765.8497659,2291375.57284389,20769763.769377,6414460.28792098,17691507.9721057,53848540.35874,0.0,9179552.20313304,99200000.0,130636725.852966,4342608.99377178,12948712.0830855,90704340.7043407,60811819.1314729,0.0,39135467.9154937,41058571.7065577,302400.302400302,1771001.77100177,43773397.5343164,156919128.673686,7330399.9290757,38639984.5440062,6891062.97072754,603866851.7301,191939923.224031,5185185.18518519,96323106.1438221,29065079.3001273,200340200.3402,103800000.0,66368381.8046234,82889601.2446853,7933048.21486779,4375000000.0,0.0,150879588.72593,8276810.92143356,616740088.105727,902000000.0,0.0,9365839.70830056,84222222.2222222,24842044.801838,94390801.1395154,103635151.998223,1983799.20648032,6218501.90798782,3700000.0,0.0,551454504.427754,266899036.578679,281422738.461992,636258725.240228,5390626.34765659,7246651.05202591,149593495.934959,39363259.9077325,714244.900291412,80303734.1775183,1037058.64242542,79583333.3333333,8230000.0,5087500.0,14285714.2857143,330376940.133038,14629994.1480023,727985.440291194,152233866.519581,51429281.9115868,54650942605.0773,86929824.5614035,203900682.753824,1315597881.75968,927234.774966126,807070715.481137,186199925.52003,81624098.9637049,12650000.0
1963,2939585.50125376,343271609.064777,0.0,3335766741.48489,242219771.188823,0.0,553280088.524814,125959915.109368,11070110.701107,1012000.0,444601321.532591,2963071.79939269,5281287.75263656,48606800.1313768,2071428571.42857,11583922.3582339,241025517.642926,0.0,695125.0,6404292.35811652,441999606.218533,9868097.73741424,5650505.96227849,21598187.9216042,1610091700.58692,294995369.258738,152917455.404214,11251332630.388,8064779.44297515,20339866.0651295,58217821.7821782,13100436.6812227,170000000.0,3687650.14214536,0.0,0.0,30737332.9129284,815585466.91913,4666895693.05115,45014.376466484,239028020.280463,39000000.0,66436300.1462409,17100000.0,335799697.780272,107737649.233228,316520311.132393,0.0,27289522.5138561,128576498.371426,344497.343925478,3887455989.50045,3008117.85317946,5810811570.85085,67706683.5603421,31096095.3389474,10492201.7419486,727666.880166151,9407751.85709348,2379301.339145,179495712.797773,14812738.8535032,5032808.21202366,3820000.0,36272977.871391,1930800.0,0.0,698192771.084337,1795449295.4493,30210947.388848,128712871.287129,163218934.712426,0.0,1463283723.58157,27445027.4450274,61879975.2480099,629861111.111111,0.0,1861999.2552003,0.0,0.0,185384615.384615,68739972.504011,35544791.6666667,33900603.4307411,2700000.0,18675992.529603,13917763.9177639,2291375.57284389,20769763.769377,6290401.61414037,17691507.9721057,74893933.1961925,0.0,8956747.53800845,112000000.0,130636725.852966,4375224.47513632,12948712.0830855,100322350.32235,60811819.1314729,0.0,39135467.9154937,41058571.7065577,302400.302400302,1771001.77100177,60760089.1147974,156919128.673686,7330399.9290757,45499981.8000073,6891062.97072754,637373073.270509,205099917.960033,5185185.18518519,100042547.629708,29065079.3001273,219660219.66022,103800000.0,97315436.2416107,94235401.823845,7933048.21486779,4950000000.0,0.0,150352958.398789,9208934.8108216,616740088.105727,904833333.333333,0.0,9365839.70830056,113777777.777778,28144744.3997702,94390801.1395154,103635151.998223,2155999.13760034,6103875.14470694,4480000.0,0.0,551454504.427754,266899036.578679,281422738.461992,697922566.452937,5390626.34765659,7246651.05202591,149593495.934959,39363259.9077325,1134619.77993274,85501269.7970725,1037058.64242542,79583333.3333333,8230000.0,5087500.0,15238095.2380952,350000000.0,14629994.1480023,2729945.40109198,152233866.519581,51429281.9115868,54561215775.4246,86929824.5614035,245397307.794499,1315597881.75968,927234.774966126,807070715.481137,188999924.40003,81624098.9637049,12650000.0
1964,2939585.50125376,343271609.064777,0.0,3335766741.48489,245740498.034076,0.0,655760104.921617,164594678.987452,11070110.701107,1162000.0,497059226.927638,3803662.45352553,5358593.13463414,48606800.1313768,2071428571.42857,11583922.3582339,241025517.642926,0.0,695125.0,6404292.35811652,354227857.06906,9868097.73741424,5650505.96227849,21598187.9216042,1657457282.98458,329525834.962668,149950377.692931,11251332630.388,11190603.484514,20339866.0651295,49818181.8181818,13100436.6812227,190000000.0,3687650.14214536,0.0,0.0,30737332.9129284,815585466.91913,4579989821.55102,45014.376466484,255387902.952597,42500000.0,99856999.9149291,20600000.0,448499596.350363,107737649.233228,386820000.721007,0.0,36140000.0,139910553.863705,344497.343925478,4130961167.72148,3008117.85317946,6159898580.62988,67706683.5603421,33302237.2379944,10492201.7419486,727666.880166151,9407751.85709348,2379301.339145,188207553.063285,12993630.5732484,5032808.21202366,5850000.0,36272977.871391,1930800.0,0.0,698192771.084337,1986654486.65449,36054670.7888806,155445544.554455,185198925.92043,0.0,1586666707.9737,27445027.4450274,61879975.2480099,718055555.555556,0.0,5879997.64800094,0.0,0.0,137481470.39706,68739972.504011,35544791.6666667,38065368.3231067,2700000.0,21475991.4096034,13938763.9387639,2291375.57284389,20769763.769377,8382342.82301439,17691507.9721057,69993222.0002411,0.0,9455019.78910526,120000000.0,130636725.852966,5174939.90458194,12948712.0830855,97912597.9125979,60811819.1314729,0.0,39135467.9154937,41058571.7065577,315000.315000315,1771001.77100177,84606790.7566264,156919128.673686,7330399.9290757,54319978.2720087,6891062.97072754,735383641.366547,219799912.080035,5185185.18518519,123402030.606484,29065079.3001273,257880257.880258,103800000.0,120432513.049963,93605898.7061414,7933048.21486779,5200000000.0,0.0,169469639.274011,9815376.85933912,616740088.105727,949166666.666667,0.0,9365839.70830056,123555555.555556,41872487.0763929,94390801.1395154,103635151.998223,2353399.05864038,5724173.99133902,5420000.0,0.0,551454504.427754,266899036.578679,281422738.461992,758619889.7783,5390626.34765659,7246651.05202591,112041884.816754,39363259.9077325,3383300.6158505,87235576.9230769,1037058.64242542,79583333.3333333,8230000.0,5087500.0,17478991.5966387,380897803.670027,14629994.1480023,5487890.24219516,152233866.519581,51429281.9115868,53432327058.1665,86929824.5614035,200459770.114943,1315597881.75968,927234.774966126,807070715.481137,271599891.360043,81624098.9637049,12650000.0
1965,2939585.50125376,343271609.064777,0.0,3335766741.48489,252407602.894431,0.0,787360125.97762,142895702.014829,11070110.701107,2153481.48148148,500722082.825724,3994923.71287149,3509330.32999947,48606800.1313768,2071428571.42857,11583922.3582339,241025517.642926,0.0,695125.0,6404292.35811652,632869026.537902,9868097.73741424,5650505.96227849,21598187.9216042,1574704539.97291,343475228.392733,168215772.366996,11251332630.388,12902909.8877422,20339866.0651295,78909090.9090909,13100436.6812227,185202863.961814,3687650.14214536,0.0,0.0,30737332.9129284,815585466.91913,4664605079.67476,45014.376466484,285791224.732668,40200000.0,105528391.390828,23800000.0,515199536.320417,107737649.233228,439425746.033771,0.0,42900000.0,149572371.660402,344497.343925478,4304458188.69513,3008117.85317946,6475329219.51092,67706683.5603421,35578415.3878047,10492201.7419486,727666.880166151,9407751.85709348,2379301.339145,209674799.610636,18580891.7197452,5032808.21202366,6250000.0,36272977.871391,1930800.0,0.0,698192771.084337,2125989625.98963,39086791.420973,200000000.0,225742909.702836,0.0,1719942314.72245,27445027.4450274,62929974.8280101,821388888.888889,0.0,9897996.04080159,0.0,0.0,132131636.142507,68739972.504011,35544791.6666667,44598531.8293536,2700000.0,29119988.3520047,14474264.4742645,2291375.57284389,20769763.769377,8601012.63578868,17691507.9721057,63175700.376841,0.0,10710827.9016257,119200000.0,130636725.852966,4647822.3789179,12948712.0830855,107241857.241857,60811819.1314729,0.0,39135467.9154937,41058571.7065577,316050.316050316,1771001.77100177,118580173.917588,156919128.673686,7330399.9290757,65939973.6240106,6891062.97072754,749993912.387075,265579893.768043,5185185.18518519,126982427.550842,29065079.3001273,439635439.63544,103800000.0,132736763.609247,93114395.1273544,7933048.21486779,5525000000.0,0.0,175473225.00342,11679624.6381152,616740088.105727,1034000000.0,0.0,9365839.70830056,177777777.777778,56375646.1803561,94390801.1395154,103635151.998223,2505998.9976004,6483576.29807486,5170000.0,0.0,551454504.427754,266899036.578679,281422738.461992,844543329.963408,5390626.34765659,7246651.05202591,118062827.225131,39363259.9077325,3362428.13013903,94266826.9230769,1037058.64242542,79583333.3333333,8230000.0,5087500.0,12761904.7619048,422676991.150442,14629994.1480023,10737785.2442951,152233866.519581,51429281.9115868,54561791263.2266,86929824.5614035,227272727.272727,1315597881.75968,927234.774966126,807070715.481137,289449884.220046,81624098.9637049,15600000.0
1966,2939585.50125376,343271609.064777,0.0,3335766741.48489,279225436.289744,0.0,986720157.875225,167770139.032226,11070110.701107,2286857.14285714,563377895.390772,3724387.20601763,3907553.78992014,48606800.1313768,2071428571.42857,11583922.3582339,241025517.642926,0.0,695125.0,6404292.35811652,718216574.564932,9868097.73741424,5650505.96227849,21598187.9216042,1614422827.01519,378234372.677483,186697964.758487,11251332630.388,13269401.4116038,20339866.0651295,78363636.3636364,13100436.6812227,172592592.592593,3687650.14214536,0.0,0.0,30737332.9129284,815585466.91913,4744318425.17304,45014.376466484,301137663.345466,37200000.0,104515642.912989,22900000.0,481849566.33539,107737649.233228,560943076.534843,0.0,43420000.0,152916847.051566,344497.343925478,4548130770.44856,3008117.85317946,6692138864.5979,67706683.5603421,47344505.5160551,13895077.9825805,727666.880166151,9407751.85709348,2379301.339145,238979294.897497,19100636.9426752,5032808.21202366,6500000.0,36272977.871391,1930800.0,0.0,698192771.084337,1661154906.41015,38314978.8964404,256105610.561056,234996906.001238,0.0,1904604598.71246,27445027.4450274,76089969.5640122,932430555.555556,0.0,13047994.7808021,0.0,0.0,176901786.339497,68739972.504011,35544791.6666667,51425377.3057574,2800000.0,58519976.5920094,15282765.2827653,2291375.57284389,20769763.769377,8965462.32374583,17691507.9721057,67938085.0471002,0.0,11342782.9517972,130400000.0,130636725.852966,4636149.756999,12948712.0830855,105456855.456855,60811819.1314729,0.0,39135467.9154937,41058571.7065577,317100.317100317,1848001.84800185,148633551.329209,156919128.673686,7330399.9290757,55719977.7120089,6891062.97072754,770691796.332822,272579890.968044,5185185.18518519,148221481.26931,29065079.3001273,549675549.67555,103800000.0,145041014.168531,109615384.615385,7933048.21486779,5975000000.0,0.0,194221264.649644,13588794.0501148,616740088.105727,1076000000.0,0.0,9365839.70830056,300444444.444444,50315910.396324,94390801.1395154,103635151.998223,2539598.98416041,6591038.88865068,6500000.0,0.0,551454504.427754,266899036.578679,281422738.461992,906980385.485994,5390626.34765659,7246651.05202591,102356020.942408,39363259.9077325,2889961.65712844,105540865.384615,1037058.64242542,79583333.3333333,8230000.0,5087500.0,13714285.7142857,442035398.230089,14629994.1480023,14265714.6857063,152233866.519581,51429281.9115868,66442751527.3178,86929824.5614035,238636363.636364,1315597881.75968,927234.774966126,807070715.481137,324449870.220052,81624098.9637049,16950000.0
1967,2939585.50125376,343271609.064777,0.0,3335766741.48489,251930719.052261,0.0,1197840191.65443,176767275.825752,11070110.701107,2376000.0,607918707.189363,3910553.2091333,3695106.93045963,48606800.1313768,2071428571.42857,11583922.3582339,241025517.642926,0.0,695125.0,6404292.35811652,746139163.630054,9868097.73741424,5650505.96227849,21598187.9216042,1775500366.17812,383265301.455539,182705341.270295,11251332630.388,14711322.3116979,20339866.0651295,45907648.6811277,13100436.6812227,178541884.961121,3687650.14214536,0.0,0.0,30737332.9129284,815585466.91913,5014610803.58672,45014.376466484,323292901.356134,35800000.0,99249350.8282257,25300000.0,508299542.530412,107737649.233228,545917155.931618,0.0,37000000.0,146661680.284431,344497.343925478,4918985395.87983,3008117.85317946,6933197077.38222,67706683.5603421,0.0,13895077.9825805,727666.880166151,9407751.85709348,2379301.339145,313035616.320105,21179617.8343949,5032808.21202366,6800000.0,36272977.871391,1930800.0,0.0,698192771.084337,1487733333.33333,39693241.9265033,331023102.310231,234541906.183238,0.0,1928786564.47306,27445027.4450274,104719958.112017,1039027777.77778,0.0,15987993.6048026,0.0,0.0,218100895.692322,68739972.504011,35544791.6666667,57730955.0260257,3050000.0,79519968.1920127,15711432.1626131,2291375.57284389,20769763.769377,7434773.63432581,17691507.9721057,70348918.7805924,0.0,12112471.7949549,133600000.0,130636725.852966,5081280.15739773,12948712.0830855,102039102.039102,60811819.1314729,0.0,39135467.9154937,41058571.7065577,312756.315192086,2133370.89170761,143406876.996753,156919128.673686,7330399.9290757,239959904.016038,6891062.97072754,883921396.74191,293579882.568047,5185185.18518519,149591230.887079,29065079.3001273,478275478.275478,103800000.0,243980653.458211,129487179.487179,7933048.21486779,6275000000.0,0.0,251518644.242597,14936443.0468204,616740088.105727,1123833333.33333,0.0,9365839.70830056,336222222.222222,52268811.0281447,94390801.1395154,103635151.998223,2883153.57349487,6777307.37898212,7530000.0,0.0,551454504.427754,266899036.578679,281422738.461992,921961412.739866,5390626.34765659,7246651.05202591,118586387.434555,39363259.9077325,3105678.43220149,126346153.846154,1037058.64242542,79583333.3333333,8230000.0,5087500.0,15428571.4285714,508407079.646018,14629994.1480023,16841663.1667367,152233866.519581,51429281.9115868,78398442240.5239,86929824.5614035,270454545.454545,1315597881.75968,927234.774966126,807070715.481137,373099850.76006,81624098.9637049,19000000.0
1968,2939585.50125376,343271609.064777,0.0,3335766741.48489,337142857.142857,0.0,1321600211.45603,182059709.233709,11070110.701107,2590857.14285714,646381114.508621,4293821.82457132,3760628.52180236,48606800.1313768,2071428571.42857,11583922.3582339,241025517.642926,0.0,695125.0,11583123.7931858,755307566.684812,9868097.73741424,5650505.96227849,21598187.9216042,1797265817.14572,373889479.641889,173781024.275537,11251332630.388,15305071.3953911,20339866.0651295,50479041.9161677,13100436.6812227,141184847.796596,3687650.14214536,0.0,0.0,30737332.9129284,815585466.91913,4523054335.46755,45014.376466484,345466666.666667,37300000.0,99249350.8282257,29300000.0,648599416.260525,107737649.233228,668753624.841933,0.0,34660000.0,150060024.009604,344497.343925478,5148997849.38987,2989113.97006847,6220499923.0844,67706683.5603421,44271216.3553464,14178651.0026332,727666.880166151,9407751.85709348,2379301.339145,366771882.677522,20400000.0,5032808.21202366,7050000.0,36272977.871391,1930800.0,150166666.666667,698192771.084337,1586866666.66667,37141485.4325991,437293729.372937,291437883.424847,0.0,1991165044.33278,27445027.4450274,127749948.90002,1168194444.44444,0.0,16365993.4536026,0.0,0.0,278696524.426612,68739972.504011,35461875.0,65572316.4450301,3050000.0,95479961.8080153,14305226.3216164,2291375.57284389,20769763.769377,6756897.21472551,17691507.9721057,90900288.3120014,0.0,13044200.3945668,148800000.0,130636725.852966,5251146.16363379,12948712.0830855,104590604.590605,60811819.1314729,0.0,39135467.9154937,41058571.7065577,270900.270900271,1881000.7524003,148306884.18343,156919128.673686,7330399.9290757,369039852.384059,6891062.97072754,905836803.272701,321999871.200052,5185185.18518519,135520021.683203,29065079.3001273,492555492.555493,103800000.0,113178294.573643,153846153.846154,7933048.21486779,7225000000.0,0.0,280857219.767629,16621004.2927024,616740088.105727,1255833333.33333,0.0,9365839.70830056,338666666.666667,57725445.1464675,94390801.1395154,103635151.998223,2658001.06320043,6619695.5794709,8340000.0,0.0,551454504.427754,266899036.578679,281422738.461992,941001815.120592,5390626.34765659,7246651.05202591,190052356.020942,39363259.9077325,3288025.36707531,154639423.076923,1037058.64242542,79583333.3333333,8230000.0,5087500.0,17523809.5238095,570685840.707965,16239993.5040026,19942601.147977,152233866.519581,51429281.9115868,84329031218.2481,86929824.5614035,272727272.727273,1315597881.75968,927234.774966126,807070715.481137,399699840.120064,81624098.9637049,30600000.0
1969,2939585.50125376,343271609.064777,0.0,3335766741.48489,442857142.857143,0.0,1314880210.38083,193173819.390418,11070110.701107,3337142.85714286,675078864.353312,4015987.01343663,4023680.4751482,48606800.1313768,2071428571.42857,11583922.3582339,241025517.642926,0.0,695125.0,12254609.230472,816622810.997187,9868097.73741424,5650505.96227849,21598187.9216042,1770108751.17249,409105981.088281,179980922.718443,11251332630.388,16156269.5942853,20339866.0651295,72455089.8203593,13100436.6812227,131638962.82354,3687650.14214536,0.0,0.0,30737332.9129284,815585466.91913,5126653891.66001,45014.376466484,352000000.0,35600000.0,99249350.8282257,39700000.0,888949199.94572,107737649.233228,805713226.275707,0.0,34420000.0,140291965.842941,344497.343925478,4964005293.9822,4350652.59788968,6199702306.86184,67706683.5603421,49026817.6692651,14705286.6113024,727666.880166151,9407751.85709348,2379301.339145,425403589.914256,17600000.0,5032808.21202366,7200000.0,36272977.871391,1930800.0,173333333.333333,698192771.084337,1691433333.33333,41630596.267328,566006600.660066,375997849.60086,0.0,2003805617.344,27445027.4450274,127749948.90002,1335416666.66667,0.0,15749993.7000025,0.0,0.0,347028223.805442,68739972.504011,36133958.3333333,65138973.3851987,3050000.0,143079942.768023,15863429.1887097,2291375.57284389,20769763.769377,7063034.95260952,17691507.9721057,84972008.6394796,0.0,13014516.1911363,180000000.0,130636725.852966,5673928.01227876,12948712.0830855,114418614.418614,60811819.1314729,0.0,39135467.9154937,41058571.7065577,336600.336600337,1959000.78360031,143733544.142531,156919128.673686,7330399.9290757,684459726.21611,6988120.19566737,1017240119.80422,350279859.888056,5185185.18518519,147560023.609604,29065079.3001273,552720552.720553,103800000.0,128940568.475452,189230769.230769,7933048.21486779,7975000000.0,0.0,283142795.387421,17856349.2063492,616740088.105727,1380000000.0,0.0,9365839.70830056,429333333.333333,87018954.6237794,94390801.1395154,103635151.998223,3297601.31904053,7508052.99489773,9000000.0,0.0,551454504.427754,266899036.578679,281422738.461992,1017260076.43223,5390626.34765659,7246651.05202591,194502617.801047,39363259.9077325,3435130.65421352,184903846.153846,1037058.64242542,79583333.3333333,8230000.0,5262500.0,16952380.952381,596792035.39823,20089991.9640032,22861542.7691446,152233866.519581,51429281.9115868,84990165430.7737,86929824.5614035,263636363.636364,1315597881.75968,927234.774966126,807070715.481137,425599829.760068,81624098.9637049,42350000.0
