Artist,Year,CumWeeksAtNo1
'N Sync,2000,2
'N Sync,2001,2
'N Sync,2002,2
'N Sync,2003,2
'N Sync,2004,2
'N Sync,2005,2
'N Sync,2006,2
'N Sync,2007,2
'N Sync,2008,2
'N Sync,2009,2
'N Sync,2010,2
'N Sync,2011,2
'N Sync,2012,2
'N Sync,2013,2
'N Sync,2014,2
'N Sync,2015,2
'N Sync,2016,2
'N Sync,2017,2
'N Sync,2018,2
'N Sync,2019,2
'N Sync,2020,2
'N Sync,2021,2
'N Sync,2022,2
'N Sync,2023,2
'N Sync,2024,2
'N Sync,2025,2
'N Sync,2026,2
50 Cent,2000,0
50 Cent,2001,0
50 Cent,2002,0
50 Cent,2003,13
50 Cent,2004,13
50 Cent,2005,22
50 Cent,2006,22
50 Cent,2007,22
50 Cent,2008,22
50 Cent,2009,22
50 Cent,2010,22
50 Cent,2011,22
50 Cent,2012,22
50 Cent,2013,22
50 Cent,2014,22
50 Cent,2015,22
50 Cent,2016,22
50 Cent,2017,22
50 Cent,2018,22
50 Cent,2019,22
50 Cent,2020,22
50 Cent,2021,22
50 Cent,2022,22
50 Cent,2023,22
50 Cent,2024,22
50 Cent,2025,22
50 Cent,2026,22
Aaliyah,2000,1
Aaliyah,2001,1
Aaliyah,2002,1
Aaliyah,2003,1
Aaliyah,2004,1
Aaliyah,2005,1
Aaliyah,2006,1
Aaliyah,2007,1
Aaliyah,2008,1
Aaliyah,2009,1
Aaliyah,2010,1
Aaliyah,2011,1
Aaliyah,2012,1
Aaliyah,2013,1
Aaliyah,2014,1
Aaliyah,2015,1
Aaliyah,2016,1
Aaliyah,2017,1
Aaliyah,2018,1
Aaliyah,2019,1
Aaliyah,2020,1
Aaliyah,2021,1
Aaliyah,2022,1
Aaliyah,2023,1
Aaliyah,2024,1
Aaliyah,2025,1
Aaliyah,2026,1
Adele,2000,0
Adele,2001,0
Adele,2002,0
Adele,2003,0
Adele,2004,0
Adele,2005,0
Adele,2006,0
Adele,2007,0
Adele,2008,0
Adele,2009,0
Adele,2010,0
Adele,2011,12
Adele,2012,14
Adele,2013,14
Adele,2014,14
Adele,2015,21
Adele,2016,24
Adele,2017,24
Adele,2018,24
Adele,2019,24
Adele,2020,24
Adele,2021,31
Adele,2022,34
Adele,2023,34
Adele,2024,34
Adele,2025,34
Adele,2026,34
Alicia Keys,2000,0
Alicia Keys,2001,6
Alicia Keys,2002,6
Alicia Keys,2003,6
Alicia Keys,2004,6
Alicia Keys,2005,6
Alicia Keys,2006,6
Alicia Keys,2007,11
Alicia Keys,2008,11
Alicia Keys,2009,11
Alicia Keys,2010,11
Alicia Keys,2011,11
Alicia Keys,2012,11
Alicia Keys,2013,11
Alicia Keys,2014,11
Alicia Keys,2015,11
Alicia Keys,2016,11
Alicia Keys,2017,11
Alicia Keys,2018,11
Alicia Keys,2019,11
Alicia Keys,2020,11
Alicia Keys,2021,11
Alicia Keys,2022,11
Alicia Keys,2023,11
Alicia Keys,2024,11
Alicia Keys,2025,11
Alicia Keys,2026,11
Ariana Grande,2000,0
Ariana Grande,2001,0
Ariana Grande,2002,0
Ariana Grande,2003,0
Ariana Grande,2004,0
Ariana Grande,2005,0
Ariana Grande,2006,0
Ariana Grande,2007,0
Ariana Grande,2008,0
Ariana Grande,2009,0
Ariana Grande,2010,0
Ariana Grande,2011,0
Ariana Grande,2012,0
Ariana Grande,2013,0
Ariana Grande,2014,0
Ariana Grande,2015,0
Ariana Grande,2016,0
Ariana Grande,2017,0
Ariana Grande,2018,6
Ariana Grande,2019,15
Ariana Grande,2020,17
Ariana Grande,2021,17
Ariana Grande,2022,17
Ariana Grande,2023,17
Ariana Grande,2024,19
Ariana Grande,2025,19
Ariana Grande,2026,20
Ashanti,2000,0
Ashanti,2001,0
Ashanti,2002,10
Ashanti,2003,10
Ashanti,2004,10
Ashanti,2005,10
Ashanti,2006,10
Ashanti,2007,10
Ashanti,2008,10
Ashanti,2009,10
Ashanti,2010,10
Ashanti,2011,10
Ashanti,2012,10
Ashanti,2013,10
Ashanti,2014,10
Ashanti,2015,10
Ashanti,2016,10
Ashanti,2017,10
Ashanti,2018,10
Ashanti,2019,10
Ashanti,2020,10
Ashanti,2021,10
Ashanti,2022,10
Ashanti,2023,10
Ashanti,2024,10
Ashanti,2025,10
Ashanti,2026,10
Beyonce,2000,0
Beyonce,2001,0
Beyonce,2002,0
Beyonce,2003,17
Beyonce,2004,17
Beyonce,2005,17
Beyonce,2006,25
Beyonce,2007,32
Beyonce,2008,34
Beyonce,2009,36
Beyonce,2010,36
Beyonce,2011,36
Beyonce,2012,36
Beyonce,2013,36
Beyonce,2014,36
Beyonce,2015,36
Beyonce,2016,36
Beyonce,2017,36
Beyonce,2018,36
Beyonce,2019,36
